qual_id,race_id,season,round,driver_id,constructor_id,q1,q2,q3,position
386,21,2014,18,perez,force_india,1:12.076,,,17
387,21,2014,18,maldonado,lotus_f1,1:12.233,,,18
388,22,2014,19,rosberg,mercedes,1:41.308,1:41.459,1:40.480,1
389,22,2014,19,hamilton,mercedes,1:41.207,1:40.920,1:40.866,2
390,22,2014,19,bottas,williams,1:42.346,1:41.376,1:41.025,3
391,22,2014,19,massa,williams,1:41.475,1:41.144,1:41.119,4
392,22,2014,19,kvyat,toro_rosso,1:42.302,1:42.082,1:41.908,5
393,22,2014,19,button,mclaren,1:42.137,1:41.875,1:41.964,6
394,22,2014,19,raikkonen,ferrari,1:42.439,1:42.168,1:42.236,7
395,22,2014,19,alonso,ferrari,1:42.467,1:41.940,1:42.866,8
396,22,2014,19,kevin_magnussen,mclaren,1:42.104,1:42.198,,9
397,22,2014,19,vergne,toro_rosso,1:42.413,1:42.207,,10
